,입구,청과,채소,닭고기,수산,냉장냉동,조미식품,데일리,과자,"건강,차",수예,인테리어,애완원예용품,계산대,자동차,세제,인스턴트,"음료,주류",축산,델리카,주방용품,청소욕실,위생용품,완구,H&B,곡물,언더웨어,스포츠,문구
입구,0.35789473684210527,0.23157894736842105,0.4105263157894737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
청과,0.0,0.2068965517241379,0.3655172413793103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08275862068965516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3448275862068965,0.0,0.0,0.0
채소,0.0,0.06382978723404255,0.3829787234042552,0.15501519756838902,0.1276595744680851,0.0,0.027355623100303945,0.0,0.0,0.0,0.0,0.0,0.0,0.05471124620060789,0.0,0.0,0.0,0.0,0.03647416413373859,0.0,0.0,0.0,0.0,0.0,0.0,0.15197568389057747,0.0,0.0,0.0
닭고기,0.0,0.0,0.8020833333333334,0.09375,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
수산,0.0,0.0,0.3191489361702128,0.0,0.18085106382978725,0.26595744680851063,0.11702127659574468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11702127659574468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
냉장냉동,0.0,0.0,0.0,0.0,0.1702127659574468,0.26595744680851063,0.23404255319148934,0.14893617021276595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05319148936170213,0.1276595744680851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
조미식품,0.0,0.0,0.043478260869565216,0.0,0.11956521739130434,0.2826086956521739,0.16304347826086954,0.15217391304347827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23913043478260868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
데일리,0.0,0.0,0.0,0.0,0.0,0.14130434782608695,0.14130434782608695,0.3043478260869565,0.05434782608695651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2934782608695652,0.06521739130434781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
과자,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04301075268817204,0.3870967741935484,0.1935483870967742,0.03225806451612903,0.0,0.0,0.0,0.0,0.16129032258064516,0.0,0.06451612903225806,0.0,0.0,0.0,0.0,0.11827956989247311,0.0,0.0,0.0,0.0,0.0,0.0
"건강,차",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20353982300884954,0.19469026548672563,0.061946902654867256,0.0,0.0,0.035398230088495575,0.0,0.07964601769911503,0.04424778761061947,0.0,0.0,0.0,0.15929203539823006,0.0,0.0,0.0,0.0,0.0,0.22123893805309733,0.0,0.0
